Sample_ID,Material,SiO2,TiO2,Al2O3,FeO,Cr2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,87Sr/86Sr,143Nd/144Nd,epsilon Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Hf/177Hf,epsilon Hf,He,3He,4He,3He/4He,4He/3He,3He/4He(R/Ra),La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Cs,Hf,Nb,Ni,Pb,Rb,Sc,Sr,Ta,Th,U,Y,Zr,Age,Latitude,Longitude,Elevation,Depth,Tectonic,Rock,Expedition,Reference,Method,Sample_ID.1,Material.1,Elevation_km
SHK0462-006,WR,45.31,1.34,16.04,10.91,,0.16,6.44,11.22,4.84,0.25,0.14,4.68,,0.51,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,0.13,,36.91,100,,-32.7,57.3,,,FRACTURE_ZONE,"IVM, igneous:volcanic:mafic",SHINKAI 6500 D462 ,"COOGAN, 2004",,SHK0462-006,WR,
HLY0102-005-002,GL,46.42,2.85,15.55,12.68,,,7.38,10.03,2.82,0.1,,,0.7,0.51,7.28,18.06,15.44,37.85,,,,,,,,,2.21,,,9.9,,,,,,,,,,,18.7,,,,,,,1.5,,227,,0.11,0.03,,,,84.44,2.12,-4098.5,4098.5,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",HEALY 0102 ,"MICHAEL, 2003; GOLDSTEIN, 2008",DCP; TIMS; EMP; ICPMS,HLY0102-005-002,GL,-4.0985
HLY0102-028-015,GL,46.81,,,,,,8.67,,,0.09,,,0.7,0.51,7.55,18.13,15.44,37.93,,,,,,,,,1.92,,,8.35,,,,,,,,,,,18.3,,,,,,,1.27,,226,,0.11,0.04,,,,84.5,2.66,-4075,4075,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",HEALY 0102 ,"GOLDSTEIN, 2008",TIMS; EMP; ICPMS,HLY0102-028-015,GL,-4.075
JCR0031-ROPOS-434-1A,WR,46.84,1.68,15.99,10.74,,0.16,6.1,11.45,3.37,0.3,0.21,4.09,,0.51,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,0.24,,31.15,97.48,,-32.74,57.28,,,FRACTURE_ZONE,"IVM, igneous:volcanic:mafic",JR31 ,"COOGAN, 2004",,JCR0031-ROPOS-434-1A,WR,
END0113-004-001,GL,47.29,1.39,16.59,11.23,,0.18,10.59,10.24,2.83,,0.12,,0.7,0.51,4.37,19.61,15.65,39.2,0.28,6.61,,,,,,,2.75,8.65,,7.71,2.74,,,,,,,,,,,,,2.02,,,0.3,1.02,,135.6,,0.1,0.04,,,,-27.53,-112.76,-2520,2520,SPREADING_CENTER, ,EN113 ,"HANAN, 1989; SCHILLING, 1985; FONTIGNIE, 1991; KINGSLEY, 2002; KINGSLEY, 2007",MS; EMP; ICPMS; MS-ID,END0113-004-001,GL,-2.52
CHRRI88-014-104-A,WR,47.5,0.91,16.6,12,,0.18,9.1,10.95,2.68,0.05,0.06,-0.66,0.7,0.51,11.57,17.85,15.45,37.32,,,,,,,,,,,,4.18,1.75,,,,,,,,,,,,,,,,,0.27,,90.4,,,,,,,17.13,-46.45,-3760,3760,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",RIDELENTE ,"DOSSO, 1993",NN; IGN; MS; MS-ID,CHRRI88-014-104-A,WR,-3.76
MELPROT-5-020-A,WR,47.52,0.52,18.34,7.51,,0.14,6.9,10.68,2.57,0.44,0.13,3.38,0.7,0.51,6.73,18.26,15.55,38.37,,,,,,,,,,,,6.76,2.36,,,,,,,,,,,,,,,,0.45,3.22,,146.8,,,,,,,-46.5,33.87,-2250,2250,FRACTURE_ZONE,"IVM, igneous:volcanic:mafic",PROTEA-5,"MAHONEY, 1992",,MELPROT-5-020-A,WR,-2.25
HLY0102-R001,GL,47.55,,,,,,9.39,,,0.1,,,0.7,0.51,6.87,18.81,15.54,38.43,,,,,,,,,3.32,,,7.77,,,,,,,,,,,11.9,,,,,,,1,,194,,0.16,0.07,,,,85.56,15.98,-2397,2397,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",HEALY 0102 ,"GOLDSTEIN, 2008",TIMS; EMP; ICPMS,HLY0102-R001,GL,-2.397
EWI0004-017-004,GL,47.58,2,16.83,9.39,,0.17,7.19,10.99,3.3,0.38,0.26,,,,,,,,,,,,,,91928.66,7.77,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,2.07,-91.8,-1762,1762,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-017-004,GL,-1.762
GIMNAUT-DR08-001,GL,47.62,1.9,16.3,12.4,,0.23,6.85,11.04,3.62,0.05,0.11,,0.7,0.51,5.33,18.75,15.57,38.7,,,,,,,,,2.82,10.36,1.95,10.76,3.91,1.47,5.52,1.09,7.22,1.68,4.9,,4.72,0.72,3,,0.01,2.91,1.05,,0.51,0.38,,113,0.08,0.11,0.03,45,119,,-19.66,65.54,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",GIMNAUT2000C ,"NAURET, 2006",,GIMNAUT-DR08-001,GL,
