SAMPLE_ID,SAMPLE_NAME,IGSN,SAMPLE_TYPE,LATITUDE,LONGITUDE,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,ROCK NAME,REFERENCE,METHOD,EXPEDITION ID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,V2O3,V2O5,Fe,Sr87_Sr86,Sr87_Sr86(I),Rb87_Sr86,E_Sr,Nd143_Nd144,Sm147_Nd144,E_Nd,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Hf176_Hf177,Lu176_Hf177,E_Hf,Re187_Os188,Os187_Os188,Os187_Os188(I),Be9,Be10,Be10_Be9,Sr87_Sr86(T),E_Tl,Ar40,Ar40_RG,Ar40_Ar36,Ar40_Ar39,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,CO2,F,Cl,Pa231,U234_U238_ACTIVITY,U238_Th230,U238_Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pa231_U235_ACTIVITY,Pb210,U238_Th230_ACTIVITY,Ag,As,Au,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,Hg,K,Li,Mo,Na,Nb,Ni,Os,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Th,Ti,Tl,U,V,W,Y,Zn,Zr,DELTA_B11,DELTA_D,DELTA_O18,AB[EM],AN[EM],OR[EM],FO[EM],FA[EM],EN[EM],FS[EM],WO[EM],TEMP,Age,OL[MODE],CPX[MODE],OPX[MODE],PLAG[MODE],OPAQ[MODE],MT[MODE],GM[MODE],VES[MODE],AMPH[MODE],FETI-OX[MODE],HORN[MODE],OX[MODE],PYR,SP[MODE],TI-MT[MODE]
70B-029,70B-29,,Whole Rock,52.6342,174.8567,-730.0,-730.0,VOLCANIC_ARC,DACITE,"YOGODZINSKI, 2015[2792]",ICPMS[75908],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,28.4,4.02,17.7,3.76,1.15,3.1,0.433,2.25,0.42,1.14,0.165,1.11,0.17,,,,,,,,,,,,,,,,,,,,,,297.0,,,,,,,0.53,,,,3.32,,,,,,1.38,,,4.96,14.4,,,,,,,1013.0,0.09,1.39,,,0.77,,,12.4,,116.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON0010-199,RC10-199,,Whole Rock,51.3169,-174.0167,,,VOLCANIC_ARC,SEDIMENTARY,"KAY, 1978[2568]",MS[69566],CON0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.944,15.623,38.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON0010-208,RC10-208,,Whole Rock,51.6461,-171.7667,,,VOLCANIC_ARC,SEDIMENTARY,"KAY, 1978[2568]",MS[69566],CON0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.934,15.605,38.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178,DSDP-178,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,THOLEIITE,"VON DRACH, 1986[2565]",MS[67631],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,0.70263,,,-26.5,0.512271,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-001R-001/088-094,178 1 1 88–94,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[61991],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-012R-002/112-117,178 12 2 112–117,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[66016],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-024R-003/087-092,178 24 3 87–92,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[66016],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-029R-005/129-134,178 29 5 129–134,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[61991],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-039R-005/108-110,178 39 5 108–110,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[61991],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-047R-001/127-130,178 47 1 127–130,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[66016],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
