sample_id,material,SiO2,TiO2,Al2O3,FeO,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,method
KNO0115-011,GL,50.57,1.81,14.69,,10.64,,0.175,7.33,11.32,2.95,0.108,0.196,,,,,,,,,,,,,,EMP(484)
KNO0115-012,GL,50.93,2.07,14.18,,11.13,,0.217,6.67,11.03,3.17,0.165,0.226,,,,,,,,,,,,,,EMP(484)
KNO0115-013-A,GL,50.71,1.92,14.69,,10.71,,0.208,6.93,10.94,3.29,0.17,0.187,,,,,,,,,,,,,,EMP(484)
KNO0115-013-B,GL,50.68,2.1,14.32,,11.28,,0.23,6.56,10.88,3.34,0.163,0.218,,,,,,,,,,,,,,EMP(484)
KNO0115-014,GL,50.59,1.82,15.14,,10.2,,0.191,7.22,10.92,3.23,0.194,0.195,,,,,,,,,,,,,,EMP(484)
KNO0115-015,GL,50.18,1.54,15.71,,9.51,,0.179,7.91,11.38,2.94,0.161,0.162,,,,,,,,,,,,,,EMP(484)
KNO0115-016,GL,50.46,1.66,15.4,,9.76,,0.189,7.6,11.23,3.05,0.132,0.171,,,,,,,,,,,,,,EMP(484)
KNO0115-017,GL,49.8,1.4,16.02,,9.48,,0.169,8.34,11.24,3.04,0.1,0.133,,,,,,,,,,,,,,EMP(484)
KNO0115-018-A,GL,48.98,1.13,16.66,,9.22,,0.17,9.1,11.52,2.64,0.084,0.106,,,,,,,,,,,,,,EMP(484)
KNO0115-018-B,GL,49.46,1.41,15.82,,9.52,,0.166,9.11,11.23,2.72,0.101,0.143,,,,,,,,,,,,,,EMP(484)
KNO0115-019-A,GL,50.25,1.92,14.66,,10.74,,0.202,7.05,11.15,3.36,0.14,0.194,,,,,,,,,,,,,,EMP(484)
KNO0115-019-B,GL,50.55,1.58,15.08,,9.6,,0.184,7.79,11.53,3.3,0.105,0.16,,,,,,,,,,,,,,EMP(484)
KNO0115-020,GL,50.33,1.64,15.31,,9.72,,0.17,8.19,11,3.24,0.149,0.176,,,,,,,,,,,,,,EMP(484)
